RefSeq mRNA Accession	GO - Cellular Component	Illumina ID	UniProt Accession	
NM_007983	GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0034098 [Name: VCP-NPL4-UFD1 AAA ATPase complex]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005737 [Name: cytoplasm]; GO:0005635 [Name: nuclear envelope]	ILMN_2718815 [Chip: ]; ILMN_1220475 [Chip: ]; ILMN_2662508 [Chip: ]	P54731	
NM_007984	GO:0005737 [Name: cytoplasm]; GO:0071437 [Name: invadopodium]; GO:0005911 [Name: cell-cell junction]; GO:0030426 [Name: growth cone]; GO:0043209 [Name: myelin sheath]; GO:0042995 [Name: cell projection]; GO:0005886 [Name: plasma membrane]; GO:0005856 [Name: cytoskeleton]; GO:0030425 [Name: dendrite]; GO:0015629 [Name: actin cytoskeleton]; GO:0030175 [Name: filopodium]; GO:0070062 [Name: extracellular exosome]; GO:0001726 [Name: ruffle]; GO:0002102 [Name: podosome]; GO:0031253 [Name: cell projection membrane]; GO:0044393 [Name: microspike]; GO:0001725 [Name: stress fiber]; GO:0005902 [Name: microvillus]; GO:0030027 [Name: lamellipodium]; GO:0030054 [Name: cell junction]	ILMN_2630605 [Chip: ]	Q61553	
NM_007985	GO:0043240 [Name: Fanconi anaemia nuclear complex]; GO:0005634 [Name: nucleus]; GO:0000785 [Name: chromatin]; GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]	ILMN_1214261 [Chip: ]; ILMN_2678661 [Chip: ]; ILMN_3066293 [Chip: ]; ILMN_3144458 [Chip: ]	P50652	
NM_007986	GO:0016020 [Name: membrane]; GO:0005925 [Name: focal adhesion]; GO:0071438 [Name: invadopodium membrane]; GO:0045177 [Name: apical part of cell]; GO:0005615 [Name: extracellular space]; GO:0030027 [Name: lamellipodium]; GO:0016021 [Name: integral component of membrane]; GO:0045178 [Name: basal part of cell]; GO:0030054 [Name: cell junction]; GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]; GO:0009986 [Name: cell surface]; GO:0042995 [Name: cell projection]	ILMN_1238305 [Chip: ]; ILMN_1235181 [Chip: ]	P97321	
NM_007987	GO:0005615 [Name: extracellular space]; GO:0005737 [Name: cytoplasm]; GO:0009897 [Name: external side of plasma membrane]; GO:0016324 [Name: apical plasma membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0043005 [Name: neuron projection]; GO:0016021 [Name: integral component of membrane]; GO:0005576 [Name: extracellular region]; GO:0005634 [Name: nucleus]; GO:0031264 [Name: death-inducing signaling complex]; GO:0042383 [Name: sarcolemma]; GO:0030141 [Name: secretory granule]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0043025 [Name: neuronal cell body]; GO:0045121 [Name: membrane raft]; GO:0009986 [Name: cell surface]; GO:0031265 [Name: CD95 death-inducing signaling complex]; GO:0097440 [Name: apical dendrite]	ILMN_2582940 [Chip: ]; ILMN_2454420 [Chip: ]; ILMN_2902979 [Chip: ]; ILMN_2479290 [Chip: ]; ILMN_2582933 [Chip: ]	P25446	
NM_007988	GO:0005739 [Name: mitochondrion]; GO:0005794 [Name: Golgi apparatus]; GO:0016020 [Name: membrane]; GO:0042587 [Name: glycogen granule]; GO:0005886 [Name: plasma membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005737 [Name: cytoplasm]	ILMN_2638055 [Chip: ]; ILMN_2874104 [Chip: ]	P19096	
NM_007989	GO:0005634 [Name: nucleus]; GO:0000790 [Name: nuclear chromatin]; GO:0005667 [Name: transcription factor complex]; GO:0032444 [Name: activin responsive factor complex]	ILMN_2968632 [Chip: ]; ILMN_2659741 [Chip: ]	O88621	
NM_007990	GO:0022627 [Name: cytosolic small ribosomal subunit]; GO:0005615 [Name: extracellular space]; GO:0015935 [Name: small ribosomal subunit]	ILMN_2663832 [Chip: ]	P35545	
NM_007991	GO:0005634 [Name: nucleus]; GO:0016020 [Name: membrane]; GO:0005730 [Name: nucleolus]; GO:0015030 [Name: Cajal body]; GO:0030529 [Name: ribonucleoprotein complex]; GO:0001652 [Name: granular component]; GO:0070062 [Name: extracellular exosome]; GO:0001651 [Name: dense fibrillar component]	ILMN_1215147 [Chip: ]	P35550	
NM_007992	GO:0005578 [Name: proteinaceous extracellular matrix]; GO:1903561 [Name: extracellular vesicle]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]; GO:0031012 [Name: extracellular matrix]	ILMN_1245307 [Chip: ]; ILMN_3132949 [Chip: ]; ILMN_2626153 [Chip: ]; ILMN_2498567 [Chip: ]	P37889	
NM_007993	GO:0070062 [Name: extracellular exosome]; GO:0031012 [Name: extracellular matrix]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]; GO:0001527 [Name: microfibril]; GO:0005604 [Name: basement membrane]	ILMN_2772556 [Chip: ]; ILMN_1256811 [Chip: ]; ILMN_2574595 [Chip: ]; ILMN_1223552 [Chip: ]	-	
NM_007994	GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0030054 [Name: cell junction]; GO:0005634 [Name: nucleus]	ILMN_2634905 [Chip: ]	P70695	
NM_007995	GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]; GO:0016020 [Name: membrane]; GO:0005581 [Name: collagen trimer]	ILMN_2718589 [Chip: ]	O70165	
NM_007996	GO:0030061 [Name: mitochondrial crista]; GO:0005739 [Name: mitochondrion]	ILMN_1213873 [Chip: ]	P46656	
NM_007997	GO:0005739 [Name: mitochondrion]; GO:0005737 [Name: cytoplasm]; GO:0005743 [Name: mitochondrial inner membrane]	ILMN_1214585 [Chip: ]; ILMN_1219942 [Chip: ]; ILMN_2984012 [Chip: ]	Q61578	
NM_007998	GO:0016020 [Name: membrane]; GO:0005739 [Name: mitochondrion]; GO:0005743 [Name: mitochondrial inner membrane]	ILMN_1228534 [Chip: ]; ILMN_2710731 [Chip: ]; ILMN_1229519 [Chip: ]	Q544X6	
NM_007999	GO:0005886 [Name: plasma membrane]; GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0005739 [Name: mitochondrion]; GO:0005730 [Name: nucleolus]; GO:0000781 [Name: chromosome, telomeric region]; GO:0005634 [Name: nucleus]; GO:0043234 [Name: protein complex]; GO:0016020 [Name: membrane]	ILMN_1259473 [Chip: ]	Q8C952; Q91Z50	
NM_008000	GO:0005886 [Name: plasma membrane]; GO:0030054 [Name: cell junction]; GO:0005856 [Name: cytoskeleton]; GO:0015630 [Name: microtubule cytoskeleton]; GO:0031234 [Name: extrinsic component of cytoplasmic side of plasma membrane]; GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0042995 [Name: cell projection]; GO:0000790 [Name: nuclear chromatin]; GO:0015629 [Name: actin cytoskeleton]; GO:0030027 [Name: lamellipodium]	ILMN_3080371 [Chip: ]; ILMN_3159840 [Chip: ]; ILMN_2631205 [Chip: ]; ILMN_2551092 [Chip: ]	P70451	
NM_008001	GO:0001726 [Name: ruffle]; GO:0005794 [Name: Golgi apparatus]; GO:0042995 [Name: cell projection]; GO:0005737 [Name: cytoplasm]; GO:0005856 [Name: cytoskeleton]; GO:0030027 [Name: lamellipodium]	ILMN_2594009 [Chip: ]	P52734	
NM_008002	GO:0005615 [Name: extracellular space]; GO:0031012 [Name: extracellular matrix]; GO:0005634 [Name: nucleus]; GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]; GO:0009986 [Name: cell surface]	ILMN_1213777 [Chip: ]; ILMN_2736496 [Chip: ]; ILMN_2736497 [Chip: ]; ILMN_2982771 [Chip: ]	O35565	
NM_008003	GO:0005576 [Name: extracellular region]	ILMN_2770929 [Chip: ]	O35622; Q790L8	
NM_008004	GO:0005576 [Name: extracellular region]	ILMN_2639788 [Chip: ]; ILMN_2812286 [Chip: ]	P63075; B7ZMS7; Q0VF19	
NM_008005	GO:0005730 [Name: nucleolus]; GO:0005576 [Name: extracellular region]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]	ILMN_2764004 [Chip: ]; ILMN_1219545 [Chip: ]	O89101	
NM_008006	GO:0005615 [Name: extracellular space]; GO:0005634 [Name: nucleus]; GO:0005576 [Name: extracellular region]; GO:0005737 [Name: cytoplasm]	ILMN_1239151 [Chip: ]	P15655; Q541T2	
NM_008007	GO:0005783 [Name: endoplasmic reticulum]; GO:0005576 [Name: extracellular region]; GO:0005794 [Name: Golgi apparatus]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_1231254 [Chip: ]	Q0VG15	
NM_008008	GO:0005623 [Name: cell]; GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]; GO:0005794 [Name: Golgi apparatus]	ILMN_2833706 [Chip: ]; ILMN_2703049 [Chip: ]	Q544I6; P36363	
NM_008009	GO:0016020 [Name: membrane]; GO:0009986 [Name: cell surface]; GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]	ILMN_2759371 [Chip: ]; ILMN_1239951 [Chip: ]	O70514	
NM_008010	GO:0005634 [Name: nucleus]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005764 [Name: lysosome]; GO:0005794 [Name: Golgi apparatus]; GO:0030133 [Name: transport vesicle]; GO:0005886 [Name: plasma membrane]; GO:0009898 [Name: cytoplasmic side of plasma membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0009986 [Name: cell surface]; GO:0048471 [Name: perinuclear region of cytoplasm]	ILMN_1257208 [Chip: ]; ILMN_2590766 [Chip: ]	E9QNJ9; Q61563; F6TK14; Q7TSI8	
NM_008011	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005768 [Name: endosome]; GO:0030133 [Name: transport vesicle]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005794 [Name: Golgi apparatus]; GO:0016020 [Name: membrane]; GO:0005911 [Name: cell-cell junction]; GO:0005737 [Name: cytoplasm]; GO:0005654 [Name: nucleoplasm]; GO:0005887 [Name: integral component of plasma membrane]	ILMN_2625318 [Chip: ]	Q03142	
NM_008012	GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]	ILMN_1219188 [Chip: ]	P45377	
NM_008013	GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]	ILMN_2654554 [Chip: ]	P12804	
NM_008014	GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]	ILMN_2643832 [Chip: ]	Q61074	
NM_008016	GO:0070062 [Name: extracellular exosome]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	ILMN_1227186 [Chip: ]; ILMN_1247666 [Chip: ]; ILMN_3007680 [Chip: ]	Q9JLB0	
NM_008017	GO:0005634 [Name: nucleus]; GO:0005694 [Name: chromosome]; GO:0005730 [Name: nucleolus]; GO:0000793 [Name: condensed chromosome]; GO:0070062 [Name: extracellular exosome]; GO:0000228 [Name: nuclear chromosome]; GO:0000796 [Name: condensin complex]; GO:0005737 [Name: cytoplasm]	ILMN_2543842 [Chip: ]; ILMN_2477993 [Chip: ]; ILMN_2689642 [Chip: ]	Q8CG48; Q3ULS2	
NM_008018	GO:0005737 [Name: cytoplasm]; GO:0030054 [Name: cell junction]; GO:0042995 [Name: cell projection]; GO:0002102 [Name: podosome]	ILMN_1226646 [Chip: ]; ILMN_1227918 [Chip: ]; ILMN_2423372 [Chip: ]	O89032	
NM_008019	GO:0030018 [Name: Z disc]; GO:0033017 [Name: sarcoplasmic reticulum membrane]; GO:0005829 [Name: cytosol]; GO:0043679 [Name: axon terminus]; GO:0070062 [Name: extracellular exosome]; GO:0031012 [Name: extracellular matrix]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]	ILMN_2776025 [Chip: ]	P26883; Q3UKJ3	
NM_008020	GO:0005783 [Name: endoplasmic reticulum]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]	ILMN_1220875 [Chip: ]	P45878; Q3UND3; Q3TND1	
NM_008021	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0005654 [Name: nucleoplasm]	ILMN_1231042 [Chip: ]; ILMN_2731974 [Chip: ]; ILMN_1239314 [Chip: ]	-	
NM_008022	GO:0005634 [Name: nucleus]	ILMN_2744317 [Chip: ]	Q60688	
NM_008023	GO:0005634 [Name: nucleus]	ILMN_1241055 [Chip: ]	Q64733	
NM_008024	GO:0005634 [Name: nucleus]	ILMN_2770882 [Chip: ]	Q64731	
NM_008026	GO:0005634 [Name: nucleus]	ILMN_2621086 [Chip: ]; ILMN_2447189 [Chip: ]	P26323	
NM_008027	GO:0042383 [Name: sarcolemma]; GO:0005886 [Name: plasma membrane]; GO:0005768 [Name: endosome]; GO:0045121 [Name: membrane raft]; GO:0005925 [Name: focal adhesion]; GO:0016323 [Name: basolateral plasma membrane]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005765 [Name: lysosomal membrane]; GO:0005913 [Name: cell-cell adherens junction]; GO:0016020 [Name: membrane]; GO:0005901 [Name: caveola]; GO:0030864 [Name: cortical actin cytoskeleton]; GO:0034451 [Name: centriolar satellite]; GO:0044291 [Name: cell-cell contact zone]; GO:0044853 [Name: plasma membrane raft]; GO:0005769 [Name: early endosome]; GO:0030027 [Name: lamellipodium]; GO:0001931 [Name: uropod]; GO:0005815 [Name: microtubule organizing center]; GO:0008180 [Name: COP9 signalosome]; GO:0016600 [Name: flotillin complex]; GO:0070062 [Name: extracellular exosome]	ILMN_1241618 [Chip: ]; ILMN_1225455 [Chip: ]; ILMN_2702464 [Chip: ]	O08917	
NM_008028	GO:0005886 [Name: plasma membrane]; GO:0001931 [Name: uropod]; GO:0030139 [Name: endocytic vesicle]; GO:0030864 [Name: cortical actin cytoskeleton]; GO:0070062 [Name: extracellular exosome]; GO:0016323 [Name: basolateral plasma membrane]; GO:0005913 [Name: cell-cell adherens junction]; GO:0005925 [Name: focal adhesion]; GO:0005768 [Name: endosome]; GO:0016600 [Name: flotillin complex]; GO:0031982 [Name: vesicle]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0045121 [Name: membrane raft]; GO:0016020 [Name: membrane]; GO:0030027 [Name: lamellipodium]; GO:0044291 [Name: cell-cell contact zone]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0002080 [Name: acrosomal membrane]; GO:0005901 [Name: caveola]	ILMN_3152380 [Chip: ]; ILMN_2688439 [Chip: ]; ILMN_1227357 [Chip: ]; ILMN_2770270 [Chip: ]; ILMN_1244023 [Chip: ]; ILMN_2617384 [Chip: ]	Q60634	
NM_008029	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0043235 [Name: receptor complex]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2611439 [Chip: ]; ILMN_1219072 [Chip: ]; ILMN_2662229 [Chip: ]	P35917; Q5SU94	
NM_008030	GO:0005783 [Name: endoplasmic reticulum]; GO:0016020 [Name: membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016021 [Name: integral component of membrane]	ILMN_2943135 [Chip: ]; ILMN_2731963 [Chip: ]; ILMN_1233393 [Chip: ]; ILMN_1226862 [Chip: ]	Q3UEN4; P97501	
NM_008031	GO:0005844 [Name: polysome]; GO:0030424 [Name: axon]; GO:0045202 [Name: synapse]; GO:0005634 [Name: nucleus]; GO:0036464 [Name: cytoplasmic ribonucleoprotein granule]; GO:0005874 [Name: microtubule]; GO:0016020 [Name: membrane]; GO:0044297 [Name: cell body]; GO:0071598 [Name: neuronal ribonucleoprotein granule]; GO:0005737 [Name: cytoplasm]; GO:0005845 [Name: mRNA cap binding complex]; GO:0010494 [Name: cytoplasmic stress granule]; GO:0043198 [Name: dendritic shaft]; GO:0043005 [Name: neuron projection]; GO:0030425 [Name: dendrite]; GO:0043197 [Name: dendritic spine]	ILMN_1229462 [Chip: ]; ILMN_2577690 [Chip: ]; ILMN_1215805 [Chip: ]; ILMN_1225969 [Chip: ]; ILMN_1255527 [Chip: ]	-	
NM_008032	GO:0005634 [Name: nucleus]; GO:0016607 [Name: nuclear speck]	ILMN_1259438 [Chip: ]	O55112	
NM_008033	GO:0005737 [Name: cytoplasm]; GO:0005953 [Name: CAAX-protein geranylgeranyltransferase complex]; GO:0005965 [Name: protein farnesyltransferase complex]; GO:0005875 [Name: microtubule associated complex]	ILMN_2648991 [Chip: ]; ILMN_3058975 [Chip: ]; ILMN_3136196 [Chip: ]	Q61239	
NM_008034	GO:0005634 [Name: nucleus]; GO:0016323 [Name: basolateral plasma membrane]; GO:0031362 [Name: anchored component of external side of plasma membrane]; GO:0031225 [Name: anchored component of membrane]; GO:0031526 [Name: brush border membrane]; GO:0070062 [Name: extracellular exosome]; GO:0046658 [Name: anchored component of plasma membrane]; GO:0016324 [Name: apical plasma membrane]; GO:0016020 [Name: membrane]; GO:0005576 [Name: extracellular region]; GO:0005768 [Name: endosome]; GO:0005903 [Name: brush border]; GO:0005886 [Name: plasma membrane]; GO:0009986 [Name: cell surface]; GO:0031410 [Name: cytoplasmic vesicle]	ILMN_1249359 [Chip: ]; ILMN_2707541 [Chip: ]; ILMN_3000679 [Chip: ]	P35846	
NM_008035	GO:0005886 [Name: plasma membrane]; GO:0031225 [Name: anchored component of membrane]; GO:0031362 [Name: anchored component of external side of plasma membrane]; GO:0016020 [Name: membrane]; GO:0009986 [Name: cell surface]	ILMN_2865285 [Chip: ]; ILMN_2775030 [Chip: ]	Q05685	
NM_008036	GO:0005634 [Name: nucleus]	ILMN_2778279 [Chip: ]	P13346	
NM_008037	GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]	ILMN_1252481 [Chip: ]; ILMN_2768924 [Chip: ]; ILMN_2718801 [Chip: ]	P47930	
NM_008038	-	-	-	
NM_008039	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1242457 [Chip: ]	O88536	
NM_008040	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]	ILMN_2595763 [Chip: ]	O88537	
NM_008041	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]	ILMN_2596629 [Chip: ]	A4FUQ5	
NM_008042	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2754393 [Chip: ]; ILMN_1221662 [Chip: ]	O08790	
NM_008043	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]	-	P70339	
NM_008044	GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]	ILMN_2670247 [Chip: ]; ILMN_3049455 [Chip: ]; ILMN_3125363 [Chip: ]	O35943	
NM_008045	GO:0005737 [Name: cytoplasm]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]	ILMN_2598788 [Chip: ]	Q60687	
NM_008046	GO:0005634 [Name: nucleus]; GO:0005576 [Name: extracellular region]; GO:0005737 [Name: cytoplasm]	ILMN_1228958 [Chip: ]	P47931	
NM_008047	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]	ILMN_2525050 [Chip: ]; ILMN_2734683 [Chip: ]; ILMN_2525049 [Chip: ]	Q62356	
NM_008048	GO:0031012 [Name: extracellular matrix]; GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_2764588 [Chip: ]; ILMN_2634286 [Chip: ]; ILMN_2762029 [Chip: ]	Q61581	
NM_008049	-	-	-	
NM_008051	GO:0016020 [Name: membrane]	ILMN_2777013 [Chip: ]; ILMN_2744081 [Chip: ]	-	
NM_008052	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2641793 [Chip: ]	Q61010	
NM_008053	GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0043034 [Name: costamere]; GO:0005844 [Name: polysome]; GO:0030424 [Name: axon]; GO:0035770 [Name: ribonucleoprotein granule]; GO:0030425 [Name: dendrite]; GO:0043197 [Name: dendritic spine]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005634 [Name: nucleus]	ILMN_1237409 [Chip: ]; ILMN_2611491 [Chip: ]; ILMN_1248709 [Chip: ]	Q61584	
NM_008054	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0031234 [Name: extrinsic component of cytoplasmic side of plasma membrane]; GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]; GO:0005768 [Name: endosome]; GO:0014069 [Name: postsynaptic density]; GO:0071944 [Name: cell periphery]; GO:0005884 [Name: actin filament]; GO:0045121 [Name: membrane raft]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]	ILMN_2751207 [Chip: ]; ILMN_2663821 [Chip: ]; ILMN_2730490 [Chip: ]	P39688	
NM_008055	GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0009986 [Name: cell surface]; GO:0005911 [Name: cell-cell junction]	ILMN_1212935 [Chip: ]; ILMN_2865248 [Chip: ]	Q61088	
NM_008056	GO:0016021 [Name: integral component of membrane]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0016327 [Name: apicolateral plasma membrane]; GO:0045177 [Name: apical part of cell]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]	ILMN_2775016 [Chip: ]	Q61089	
NM_008057	GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1246836 [Chip: ]; ILMN_2587820 [Chip: ]; ILMN_2907560 [Chip: ]	Q61090	
NM_008058	GO:0005794 [Name: Golgi apparatus]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2597578 [Chip: ]	Q61091	
NM_008059	GO:0005739 [Name: mitochondrion]	ILMN_1257299 [Chip: ]	Q61585	
NM_008060	GO:0005783 [Name: endoplasmic reticulum]; GO:0017177 [Name: glucosidase II complex]; GO:0005794 [Name: Golgi apparatus]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]	ILMN_1237089 [Chip: ]; ILMN_1225535 [Chip: ]; ILMN_2940440 [Chip: ]	Q8BHN3	
NM_008061	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005783 [Name: endoplasmic reticulum]; GO:0016020 [Name: membrane]; GO:0030176 [Name: integral component of endoplasmic reticulum membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1245103 [Chip: ]	P35576	
NM_008062	GO:0005813 [Name: centrosome]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0009898 [Name: cytoplasmic side of plasma membrane]; GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0005815 [Name: microtubule organizing center]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]	ILMN_2721337 [Chip: ]	Q790Y8; Q00612	
